energy,intensity
356012.9,0.6205
30973,0.602
80997.9,0.3294855
30625,0.326
35414,0.219
302850.8,0.18335775
35089,0.176
4749,0.153
383848.5,0.08941405
276398.9,0.0716057
35818,0.0429
79614.2,0.02649535
53162.2,0.02140725
160612,0.00637874
223236.8,0.00452965
