energy,intensity
17136,0.36639
59540.9,0.35900
26344.6,0.02270
33196,0.00126
43420,0.00073
98970,0.00020
102980,0.00020
55560,0.00018
32183,0.00017
42704,0.00006
57850,0.00005
125300,0.00004
69760,0.00003
101068,0.00002
97078,0.00001
123052,0.00001
115608,0.00001
208010,0.00001
114160,0.00001
75800,0.00001
